Tipo,Query_Index,Cenario,P50,P95,P99,Vazao_ops_sec
AGRUPAMENTO,1,Baseline,0.647756,0.694337,0.694337,1.5378
AGRUPAMENTO,1,TLS,0.753876,1.448472,1.448472,1.2613
AGRUPAMENTO,2,Baseline,0.641103,0.672659,0.672659,1.5499
AGRUPAMENTO,2,TLS,0.752241,0.792806,0.792806,1.3234
AGRUPAMENTO,3,Baseline,0.635888,0.674546,0.674546,1.5673
AGRUPAMENTO,3,TLS,0.745382,0.781078,0.781078,1.3404
AGRUPAMENTO,4,Baseline,0.644605,0.676566,0.676566,1.547
AGRUPAMENTO,4,TLS,0.751918,1.473018,1.473018,1.2661
AGRUPAMENTO,5,Baseline,0.651246,1.354854,1.354854,1.4488
AGRUPAMENTO,5,TLS,0.76264,0.916091,0.916091,1.2937
AGRUPAMENTO,6,Baseline,0.676664,0.739102,0.739102,1.4784
AGRUPAMENTO,6,TLS,0.783389,0.829087,0.829087,1.2701
JUNCAO,1,Baseline,0.640788,0.668889,0.668889,1.5648
JUNCAO,1,TLS,0.742975,0.799791,0.799791,1.3332
JUNCAO,2,Baseline,0.641892,0.654933,0.654933,1.5695
JUNCAO,2,TLS,0.747204,0.794694,0.794694,1.3337
JUNCAO,3,Baseline,0.644304,0.666588,0.666588,1.5542
JUNCAO,3,TLS,0.750342,0.785817,0.785817,1.3314
JUNCAO,4,Baseline,0.635132,0.785956,0.785956,1.5452
JUNCAO,4,TLS,0.739526,1.424598,1.424598,1.2571
JUNCAO,5,Baseline,0.638076,0.666178,0.666178,1.5634
JUNCAO,5,TLS,0.747495,1.42315,1.42315,1.2754
JUNCAO,6,Baseline,0.679207,0.711031,0.711031,1.4705
JUNCAO,6,TLS,0.79749,1.079614,1.079614,1.2385
JUNCAO,7,Baseline,0.729029,0.758887,0.758887,1.3689
JUNCAO,7,TLS,0.835949,1.003919,1.003919,1.1844
BUSCA,1,Baseline,0.67344,1.50937,1.50937,1.3995
BUSCA,1,TLS,0.752995,0.790676,0.790676,1.3258
BUSCA,2,Baseline,0.698357,0.774582,0.774582,1.4284
BUSCA,2,TLS,0.793679,0.884281,0.884281,1.2486
SUBCONSULTA,1,Baseline,0.702976,0.814896,0.814896,1.4131
SUBCONSULTA,1,TLS,0.810613,0.86249,0.86249,1.2312
SUBCONSULTA,2,Baseline,0.728228,1.522287,1.522287,1.2351
SUBCONSULTA,2,TLS,0.851597,1.497203,1.497203,1.126
SUBCONSULTA,3,Baseline,0.692033,0.778892,0.778892,1.4369
SUBCONSULTA,3,TLS,0.801555,0.875979,0.875979,1.2293
SUBCONSULTA,4,Baseline,0.680772,1.4375,1.4375,1.3929
SUBCONSULTA,4,TLS,0.800354,0.821003,0.821003,1.2533
SUBCONSULTA,5,Baseline,0.701184,0.794099,0.794099,1.4096
SUBCONSULTA,5,TLS,0.815881,0.893483,0.893483,1.2107
INSERCAO,1,Baseline,0.680943,0.840913,0.840913,1.4458
INSERCAO,1,TLS,0.801724,1.194096,1.194096,1.1859
INSERCAO,2,Baseline,0.67403,0.714699,0.714699,1.4835
INSERCAO,2,TLS,0.789826,0.906323,0.906323,1.2563
INSERCAO,3,Baseline,0.669177,0.932596,0.932596,1.4639
INSERCAO,3,TLS,0.789296,1.502746,1.502746,1.1981
INSERCAO,4,Baseline,0.68289,0.715534,0.715534,1.4629
INSERCAO,4,TLS,0.797459,1.515954,1.515954,1.2009
INSERCAO,5,Baseline,0.677312,0.708563,0.708563,1.4724
INSERCAO,5,TLS,0.790923,0.808323,0.808323,1.2652
MODIFICACAO,1,Baseline,0.656481,0.690218,0.690218,1.5245
MODIFICACAO,1,TLS,0.776949,0.807192,0.807192,1.2847
MODIFICACAO,2,Baseline,0.665052,0.73558,0.73558,1.4963
MODIFICACAO,2,TLS,0.780783,0.841261,0.841261,1.2752
MODIFICACAO,3,Baseline,0.66614,1.336123,1.336123,1.4339
MODIFICACAO,3,TLS,0.776597,0.800096,0.800096,1.2877
MODIFICACAO,4,Baseline,0.664344,0.690021,0.690021,1.5068
MODIFICACAO,4,TLS,0.775025,0.802493,0.802493,1.2908
MODIFICACAO,5,Baseline,0.675007,1.3572,1.3572,1.4131
MODIFICACAO,5,TLS,0.788389,0.807027,0.807027,1.2686
